group	fill	x	y	subgroup	tooltip	showSelected1
2	#E68613	157	952.5	1	73	73
2	#E68613	156.5	953	1	73	73
2	#E68613	156.5	954	1	73	73
2	#E68613	158	955.5	1	73	73
2	#E68613	164	955.5	1	73	73
2	#E68613	166.5	953	1	73	73
2	#E68613	166.5	951	1	73	73
2	#E68613	165.5	950	1	73	73
2	#E68613	166.5	949	1	73	73
2	#E68613	166.5	947	1	73	73
2	#E68613	166	946.5	1	73	73
2	#E68613	165	946.5	1	73	73
2	#E68613	164	947.5	1	73	73
2	#E68613	163	946.5	1	73	73
2	#E68613	161.5	948	1	73	73
2	#E68613	161.5	951	1	73	73
2	#E68613	162.5	952	1	73	73
2	#E68613	160	954.5	1	73	73
2	#E68613	159.5	954	1	73	73
2	#E68613	159.5	951	1	73	73
2	#E68613	159	950.5	1	73	73
2	#E68613	157	952.5	1	73	73
2	#E68613	163	959.5	2	73	73
2	#E68613	162.5	960	2	73	73
2	#E68613	163	960.5	2	73	73
2	#E68613	163.5	960	2	73	73
2	#E68613	163	959.5	2	73	73
2	#E68613	166	959.5	3	73	73
2	#E68613	165.5	960	3	73	73
2	#E68613	166	960.5	3	73	73
2	#E68613	167	960.5	3	73	73
2	#E68613	169.5	963	3	73	73
2	#E68613	168.5	964	3	73	73
2	#E68613	168.5	966	3	73	73
2	#E68613	175	972.5	3	73	73
2	#E68613	176	971.5	3	73	73
2	#E68613	176.5	972	3	73	73
2	#E68613	175.5	973	3	73	73
2	#E68613	185	982.5	3	73	73
2	#E68613	186	981.5	3	73	73
2	#E68613	187	981.5	3	73	73
2	#E68613	188	982.5	3	73	73
2	#E68613	190.5	980	3	73	73
2	#E68613	190.5	979	3	73	73
2	#E68613	189	977.5	3	73	73
2	#E68613	188	978.5	3	73	73
2	#E68613	187.5	978	3	73	73
2	#E68613	187.5	976	3	73	73
2	#E68613	188	975.5	3	73	73
2	#E68613	189	975.5	3	73	73
2	#E68613	190	976.5	3	73	73
2	#E68613	190.5	976	3	73	73
2	#E68613	190.5	974	3	73	73
2	#E68613	189	972.5	3	73	73
2	#E68613	188	972.5	3	73	73
2	#E68613	187.5	972	3	73	73
2	#E68613	187.5	970	3	73	73
2	#E68613	187	969.5	3	73	73
2	#E68613	186	970.5	3	73	73
2	#E68613	184.5	969	3	73	73
2	#E68613	185	968.5	3	73	73
2	#E68613	186	968.5	3	73	73
2	#E68613	187.5	967	3	73	73
2	#E68613	187.5	965	3	73	73
2	#E68613	188	964.5	3	73	73
2	#E68613	189	964.5	3	73	73
2	#E68613	190	963.5	3	73	73
2	#E68613	192	963.5	3	73	73
2	#E68613	192.5	964	3	73	73
2	#E68613	192.5	965	3	73	73
2	#E68613	191.5	966	3	73	73
2	#E68613	192.5	967	3	73	73
2	#E68613	190.5	969	3	73	73
2	#E68613	191.5	970	3	73	73
2	#E68613	191.5	971	3	73	73
2	#E68613	193	972.5	3	73	73
2	#E68613	194	972.5	3	73	73
2	#E68613	195	971.5	3	73	73
2	#E68613	197	973.5	3	73	73
2	#E68613	198	973.5	3	73	73
2	#E68613	199	972.5	3	73	73
2	#E68613	199.5	973	3	73	73
2	#E68613	199.5	975	3	73	73
2	#E68613	199	975.5	3	73	73
2	#E68613	198	974.5	3	73	73
2	#E68613	197	975.5	3	73	73
2	#E68613	196	975.5	3	73	73
2	#E68613	195.5	976	3	73	73
2	#E68613	195.5	977	3	73	73
2	#E68613	195	977.5	3	73	73
2	#E68613	194.5	977	3	73	73
2	#E68613	194.5	975	3	73	73
2	#E68613	195.5	974	3	73	73
2	#E68613	195	973.5	3	73	73
2	#E68613	194	973.5	3	73	73
2	#E68613	193.5	974	3	73	73
2	#E68613	193.5	975	3	73	73
2	#E68613	193	975.5	3	73	73
2	#E68613	192	974.5	3	73	73
2	#E68613	191.5	975	3	73	73
2	#E68613	191.5	976	3	73	73
2	#E68613	190.5	977	3	73	73
2	#E68613	191	977.5	3	73	73
2	#E68613	192	977.5	3	73	73
2	#E68613	193	978.5	3	73	73
2	#E68613	194	978.5	3	73	73
2	#E68613	194.5	979	3	73	73
2	#E68613	194	979.5	3	73	73
2	#E68613	192	979.5	3	73	73
2	#E68613	191.5	980	3	73	73
2	#E68613	191.5	981	3	73	73
2	#E68613	192	981.5	3	73	73
2	#E68613	194	981.5	3	73	73
2	#E68613	194.5	982	3	73	73
2	#E68613	194.5	983	3	73	73
2	#E68613	196.5	985	3	73	73
2	#E68613	195	986.5	3	73	73
2	#E68613	194	985.5	3	73	73
2	#E68613	193	986.5	3	73	73
2	#E68613	191	986.5	3	73	73
2	#E68613	190.5	987	3	73	73
2	#E68613	191.5	988	3	73	73
2	#E68613	191.5	989	3	73	73
2	#E68613	201	998.5	3	73	73
2	#E68613	203	998.5	3	73	73
2	#E68613	203.5	998	3	73	73
2	#E68613	203.5	997	3	73	73
2	#E68613	204	996.5	3	73	73
2	#E68613	205	996.5	3	73	73
2	#E68613	205.5	996	3	73	73
2	#E68613	203.5	994	3	73	73
2	#E68613	204	993.5	3	73	73
2	#E68613	205	993.5	3	73	73
2	#E68613	205.5	993	3	73	73
2	#E68613	205	992.5	3	73	73
2	#E68613	204	992.5	3	73	73
2	#E68613	203	991.5	3	73	73
2	#E68613	202	991.5	3	73	73
2	#E68613	201	992.5	3	73	73
2	#E68613	200	991.5	3	73	73
2	#E68613	199	992.5	3	73	73
2	#E68613	198.5	992	3	73	73
2	#E68613	198.5	991	3	73	73
2	#E68613	200.5	989	3	73	73
2	#E68613	200	988.5	3	73	73
2	#E68613	198	988.5	3	73	73
2	#E68613	197	989.5	3	73	73
2	#E68613	196	988.5	3	73	73
2	#E68613	195	988.5	3	73	73
2	#E68613	194.5	988	3	73	73
2	#E68613	195	987.5	3	73	73
2	#E68613	197	987.5	3	73	73
2	#E68613	198	986.5	3	73	73
2	#E68613	199	987.5	3	73	73
2	#E68613	202	987.5	3	73	73
2	#E68613	202.5	988	3	73	73
2	#E68613	202.5	989	3	73	73
2	#E68613	204	990.5	3	73	73
2	#E68613	204.5	990	3	73	73
2	#E68613	204.5	989	3	73	73
2	#E68613	206	987.5	3	73	73
2	#E68613	206.5	988	3	73	73
2	#E68613	206.5	991	3	73	73
2	#E68613	208	992.5	3	73	73
2	#E68613	208.5	992	3	73	73
2	#E68613	208.5	991	3	73	73
2	#E68613	207.5	990	3	73	73
2	#E68613	207.5	989	3	73	73
2	#E68613	208	988.5	3	73	73
2	#E68613	209	988.5	3	73	73
2	#E68613	209.5	989	3	73	73
2	#E68613	209.5	990	3	73	73
2	#E68613	210	990.5	3	73	73
2	#E68613	211	990.5	3	73	73
